"iSess","iCond","iTrial","iCh","iFr","AF","xF1","xF2","Harm","FK_Cond","iBin","SweepVal","Sr","Si","N1r","N1i","N2r","N2i","Signal","Phase","Noise","StdErr","PVal","SNR","LSB","RSB","UserSc","Thresh","ThrBin","Slope","ThrInRange","MaxSNR"
"1092",1,0,"hc001-Avg",1,1.2,1,0,"1F1",1,0,NA,1.433013,3.12556,1.277659,1.718526,1.277659,1.718526,3.438408,65.369399,2.141435,2.068136,0.305103,0.735028,NA,NA,NA,NA,NA,NA,NA,NA
"1092",1,0,"hc001-Avg",2,2.4,2,0,"2F1",1,0,NA,1.277659,1.718526,1.433013,3.12556,1.143941,1.254753,2.141435,53.370601,2.568175,1.10439,0.214171,0.366482,NA,NA,NA,NA,NA,NA,NA,NA
"1092",1,0,"hc001-Avg",3,3.6,3,0,"3F1",1,0,NA,1.143941,1.254753,1.277659,1.718526,0.374722,0.401275,1.697941,47.645003,1.345234,0.897901,0.228106,0.546745,NA,NA,NA,NA,NA,NA,NA,NA
"1092",1,0,"hc001-Avg",4,4.8,4,0,"4F1",1,0,NA,0.374722,0.401275,1.143941,1.254753,-0.353806,1.160976,0.549034,46.959739,1.455816,0.714881,0.752351,0.249135,NA,NA,NA,NA,NA,NA,NA,NA
"1092",1,0,"hc001-Avg",5,6,5,0,"5F1",1,0,NA,-0.353806,1.160976,0.374722,0.401275,0.356453,0.288349,1.21369,106.948547,0.503757,0.565455,0.162148,0.940769,NA,NA,NA,NA,NA,NA,NA,NA
"1092",1,0,"hc001-Avg",6,7.2,6,0,"6F1",1,0,NA,0.356453,0.288349,-0.353806,1.160976,0.139277,0.051864,0.45848,38.970736,0.681155,0.236314,0.213859,0.328753,NA,NA,NA,NA,NA,NA,NA,NA
"1092",1,0,"hc001-Avg",7,8.4,7,0,"7F1",1,0,NA,0.139277,0.051864,0.356453,0.288349,0.344063,0.3897,0.148621,20.424458,0.489166,0.238988,0.827922,0.171085,NA,NA,NA,NA,NA,NA,NA,NA
"1092",1,0,"hc001-Avg",8,9.6,8,0,"8F1",1,0,NA,0.344063,0.3897,0.139277,0.051864,-0.542232,0.198607,0.519851,48.559031,0.36304,0.18964,0.070698,0.676728,NA,NA,NA,NA,NA,NA,NA,NA
"1092",1,0,"hc001-Avg",9,10.8,9,0,"9F1",1,0,NA,-0.542232,0.198607,0.344063,0.3897,0.609135,-0.158563,0.57746,159.88338,0.574643,0.352718,0.31479,0.852276,NA,NA,NA,NA,NA,NA,NA,NA
"1092",1,0,"hc001-Avg",10,24,0,1,"1F2",1,0,NA,-0.101881,0.032396,0.072305,0.137575,0.066163,0.015677,0.106908,162.360372,0.111706,0.104525,0.61166,0.512429,NA,NA,NA,NA,NA,NA,NA,NA
"1092",1,0,"hc001-Avg",11,25.2,1,1,"1F1+1F2",1,0,NA,0.066163,0.015677,-0.101881,0.032396,0.178096,0.206342,0.067995,13.329921,0.18974,0.067224,0.617941,0.224574,NA,NA,NA,NA,NA,NA,NA,NA
"1092",1,0,"hc001-Avg",12,22.8,1,-1,"1F1-1F2",1,0,NA,0.072305,0.137575,0.079493,0.027323,-0.101881,0.032396,0.155418,62.275158,0.095483,0.100805,0.353234,0.612881,NA,NA,NA,NA,NA,NA,NA,NA
