iSess	iCond	iTrial	iCh	iFr	AF	xF1	xF2	Harm	FK_Cond	iBin	SweepVal	Sr	Si	N1r	N1i	N2r	N2i	Signal	Phase	Noise	StdErr	PVal	SNR	LSB	RSB	UserSc	Thresh	ThrBin	Slope	ThrInRange	MaxSNR
20161110_101116	1	0	hc001-Avg	1	1.200000	1	0	1F1	1	0		1.080206	-0.106141	-0.560130	-0.671039	-0.560130	-0.671039	1.085408	-5.611885	0.874093	1.263400	0.700433	0.712611								
20161110_101116	1	0	hc001-Avg	2	2.400000	2	0	2F1	1	0		-0.560130	-0.671039	1.080206	-0.106141	0.134501	-0.238914	0.874093	-129.852441	0.679790	0.347695	0.086376	0.407989								
20161110_101116	1	0	hc001-Avg	3	3.600000	3	0	3F1	1	0		0.134501	-0.238914	-0.560130	-0.671039	0.215942	-0.010182	0.274172	-60.621885	0.545137	0.401628	0.796330	0.267578								
20161110_101116	1	0	hc001-Avg	4	4.800000	4	0	4F1	1	0		0.215942	-0.010182	0.134501	-0.238914	-0.160390	-0.091456	0.216182	-2.699523	0.229402	0.204099	0.587630	0.243181								
20161110_101116	1	0	hc001-Avg	5	6.000000	5	0	5F1	1	0		-0.160390	-0.091456	0.215942	-0.010182	-0.156858	-0.114731	0.184632	-150.307678	0.205260	0.168079	0.565739	0.463203								
20161110_101116	1	0	hc001-Avg	6	7.200000	6	0	6F1	1	0		-0.156858	-0.114731	-0.160390	-0.091456	0.195916	-0.029553	0.194339	-143.817018	0.191382	0.124498	0.336108	0.401845								
20161110_101116	1	0	hc001-Avg	7	8.400000	7	0	7F1	1	0		0.195916	-0.029553	-0.156858	-0.114731	-0.059879	-0.101641	0.198132	-8.578163	0.156153	0.075791	0.073973	0.811432								
20161110_101116	1	0	hc001-Avg	8	9.600000	8	0	8F1	1	0		-0.059879	-0.101641	0.195916	-0.029553	-0.125674	-0.020148	0.117968	-120.503269	0.162706	0.116046	0.611580	0.371458								
20161110_101116	1	0	hc001-Avg	9	10.800000	9	0	9F1	1	0		-0.125674	-0.020148	-0.059879	-0.101641	-0.123316	-0.014625	0.127279	-170.891896	0.121074	0.101594	0.482407	0.524915								
20161110_101116	1	0	hc001-Avg	10	24.000000	0	1	1F2	1	0		-0.029406	0.110288	0.053850	0.013023	0.064770	-0.057039	0.114141	104.929183	0.070854	0.066400	0.274049	0.474537								
20161110_101116	1	0	hc001-Avg	11	25.200000	1	1	1F1+1F2	1	0		0.064770	-0.057039	-0.029406	0.110288	-0.112057	0.110765	0.086306	-41.368469	0.135851	0.099810	0.697304	0.340231								
